,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
0,3064,Hulk,28,2300,15,11.395776705816388,7,9.895949129015207,109,63,8,0,F M S,Zenit St. Petersburg,12,8.378685714676976,15.335961673408747,4.437078012153506,2014
1,813,Salomón Rondón,26,1523,13,10.609935137443244,2,2.202637393027544,58,17,5,0,F S,Zenit St. Petersburg,13,10.609935137443244,13.83964517712593,2.546386999078095,2014
2,2815,Quincy Promes,28,2378,13,8.842512222006917,3,4.37786366045475,67,39,3,0,F M S,Spartak Moscow,13,8.842512222006917,15.845249837264419,4.646239461377263,2014
3,2884,Roman Eremenko,25,2217,13,3.8958496898412704,6,6.412553738802671,70,69,3,0,M,CSKA Moscow,13,3.8958496898412704,18.20239705592394,10.174015928059816,2014
4,2886,Bibras Natcho,26,2173,12,9.164125131443143,8,3.940853417851031,64,58,2,0,M S,CSKA Moscow,5,3.884195826947689,13.269209574908018,8.289410155266523,2014
5,255,Kevin Kurányi,24,1573,10,7.399494711309671,4,2.643270295113325,45,20,2,0,F S,Dinamo Moscow,7,5.136669743806124,7.4984733778983355,2.6561329383403063,2014
6,1681,Ahmed Musa,30,2443,10,9.764397943392396,7,4.78837626427412,60,30,0,0,F M S,CSKA Moscow,10,9.764397943392396,16.518309395760298,3.0697181215509772,2014
7,2970,Igor Portnyagin,26,2038,10,11.312530576251447,2,1.771839376538992,71,21,2,0,F M S,Rubin Kazan,10,10.558253644965589,13.112819018773735,2.6072558853775263,2014
8,2751,Aleksey Ionov,29,2053,9,5.922500446438789,2,3.750007161870599,35,33,2,0,F M S,Dinamo Moscow,9,5.922500446438789,11.411877945065498,3.8270393228158355,2014
9,2922,Mauricio Pereyra,27,2025,9,4.6466974494978786,1,3.881356643512845,45,34,4,0,F M S,FC Krasnodar,8,3.138142709620297,10.011953057721257,5.837410716339946,2014
10,2925,Fedor Smolov,24,1787,8,8.420766609720886,2,3.103393826633692,58,20,4,0,D F S,"Dinamo Moscow,Ural",7,7.66649158578366,10.53252973034978,1.2713061980903149,2014
11,3063,Artem Dzyuba,24,1314,8,6.267641052603722,2,2.20481538772583,32,28,2,0,F S,"FC Rostov,Spartak Moscow",8,6.267641052603722,9.29539177659899,2.892513819038868,2014
12,3066,Aleksandr Kokorin,27,1818,8,8.385144360363483,4,2.0957916863262653,53,17,2,0,F M S,Dinamo Moscow,7,7.630874343216419,11.323334738612175,2.6465082336217165,2014
13,776,Seydou Doumbia,13,769,7,7.658327862620354,1,1.7118517756462097,26,11,2,0,F S,CSKA Moscow,5,6.149768903851509,9.35767836868763,1.598823994398117,2014
14,2708,Manuel Fernandes,28,1852,7,5.706870467402041,2,1.4496349161490798,31,22,4,0,M S,Lokomotiv Moscow,4,3.444041470065713,7.60866641998291,3.3838482089340687,2014
15,2883,Zoran Tosic,27,1856,7,6.017461156472564,2,2.364172115921974,62,33,1,0,M S,CSKA Moscow,7,6.017461156472564,11.62594811245799,5.176263205707073,2014
16,2926,Wanderson,30,1360,7,6.91623898036778,2,1.2663829885423183,41,23,0,0,F M S,FC Krasnodar,6,6.161965923383832,9.180984375998378,2.278314401395619,2014
17,2930,Ari,26,1638,7,6.645245413295925,6,3.7492822036147118,36,35,5,0,F S,FC Krasnodar,7,6.645245413295925,11.831052134744823,2.3418894028291106,2014
18,2971,Gökdeniz Karadeniz,21,1748,7,5.4705076003447175,3,5.0230267364531755,44,38,6,0,F M S,Rubin Kazan,5,3.207683668471873,9.682232715189457,4.759116351604462,2014
19,3187,Balázs Dzsudzsák,29,1748,7,3.6093343161046505,6,5.496573341079056,46,53,1,0,M S,Dinamo Moscow,7,3.6093343161046505,8.905242821201682,2.448202194646001,2014
20,2772,Aleksandr Erokhin,25,2206,6,5.658015124499798,0,1.668527594767511,46,30,5,0,F M,Ural,6,5.658015124499798,6.629431547597051,1.7144939042627811,2014
21,2928,Joãozinho,19,1592,6,5.617810305207968,5,5.413150921463966,38,38,0,0,D F M S,FC Krasnodar,2,2.6007048711180687,10.453482486307621,4.711583299562335,2014
22,2968,Magomed Ozdoev,29,2471,6,2.954003043472767,1,1.6262053968384862,34,43,7,0,M S,Rubin Kazan,6,2.954003043472767,11.551104884594679,8.487374518066645,2014
23,2732,Ibrahima Baldé,19,1199,5,6.543858205899596,1,1.1373887117952108,37,15,1,0,F S,Kuban Krasnodar,5,6.543858205899596,8.783573796972632,1.855673792771995,2014
24,2881,Alan Dzagoev,21,1610,5,4.7334727011621,6,4.095972927287221,47,32,0,0,M S,CSKA Moscow,5,4.7334727011621,12.72509351465851,6.565937274135649,2014
25,2891,Roman Shirokov,18,1426,5,2.877983007580042,4,2.8366833999753,24,20,1,0,M S,"FC Krasnodar,Spartak Moscow",5,2.877983007580042,9.963224049657583,5.261634664610028,2014
26,2969,Maksim Kanunnikov,26,1984,5,6.131694469600916,4,2.89809727948159,42,25,2,0,F M S,Rubin Kazan,5,6.131694469600916,10.075558252632618,2.1919950069859624,2014
27,3152,Georgi Peev,15,797,5,2.917247443459928,3,0.4082656456157565,19,10,2,1,M S,Amkar,3,1.4086972316727042,2.250675082206726,0.6304695662111044,2014
28,3167,Maksim Grigoriev,22,1441,5,4.464570567943156,1,0.9245311953127384,32,11,1,0,F M S,FC Rostov,5,4.464570567943156,5.439709107391536,1.4386064726859331,2014
29,4556,Ailton,30,2288,5,6.1949642309919,0,1.292720920406282,65,23,2,0,F M S,FK Akhmat,5,6.1949642309919,7.32515128608793,1.8111905716359615,2014
30,731,Dame N&#039;Doye,14,832,4,3.1633129194378853,0,0.3909396007657051,24,7,3,0,F S,Lokomotiv Moscow,4,3.1633129194378853,3.5878108106553555,0.6635298943147063,2014
31,2710,Aleksandr Samedov,29,2533,4,4.766315469518304,4,6.367139890789986,47,62,2,0,M,Lokomotiv Moscow,3,4.012040475383401,9.64455697312951,3.5390233108773828,2014
32,2746,Christopher Samba,24,2117,4,3.5262318309396505,1,0.8933340087532997,30,3,3,0,D,Dinamo Moscow,4,3.5262318309396505,3.2357086334377527,2.8800835106521845,2014
33,2757,Vitali Djakov,29,2610,4,3.796429483219981,1,0.4365601949393749,39,8,6,0,D,FC Rostov,2,1.5336044114083052,2.7288997611030936,2.1208480559289455,2014
34,2774,Sardar Azmoun,24,962,4,5.126163141801953,1,1.6577801033854485,39,13,7,0,F M S,"FC Rostov,Rubin Kazan",4,5.126163141801953,6.84377895668149,0.777241725474596,2014
35,2775,Dmitriy Poloz,20,1242,4,2.0368834203109145,1,1.2690028110519052,19,17,0,0,F M S,FC Rostov,3,1.2826074054464698,2.6110177161172032,0.4812317993491888,2014
36,2778,Aleksandr Bukharov,26,1455,4,4.9829207099974155,0,1.0085978894494474,37,18,4,0,F S,FC Rostov,3,4.22864568606019,4.994634294882417,0.5490431236103177,2014
37,2817,Ivelin Popov,27,2228,4,6.125354301184416,6,5.334884597919881,51,45,5,0,M S,Kuban Krasnodar,2,4.616805236786604,12.043536804616451,3.7189248902723193,2014
38,2841,Aleksandr Prudnikov,19,1200,4,4.225785832852125,1,0.9227333888411522,33,11,2,0,F M S,"Amkar,Dinamo Moscow",4,4.225785832852125,5.523234590888023,1.6899550650268793,2014
39,2859,Ablae Mbengue,5,406,4,2.305055022239685,0,0.06761670112609863,12,3,1,0,F S,FK Akhmat,4,2.305055022239685,1.6282199770212173,0.15548679698258638,2014
40,2862,Igor Lebedenko,29,2265,4,4.420764751732349,2,2.398956029675901,46,24,6,0,M S,FK Akhmat,4,4.420764751732349,9.312167502939701,3.7085052225738764,2014
41,2880,Sergey Tkachev,15,870,4,1.9521982073783875,0,0.493924206122756,25,12,2,0,M S,"Kuban Krasnodar,Lokomotiv Moscow",4,1.9521982073783875,2.168451862409711,0.7939857877790928,2014
42,2894,Vladislav Ignatjev,27,1792,4,3.2841186113655567,3,1.8790132906287909,40,20,2,0,M S,Kuban Krasnodar,4,3.2841186113655567,7.910636251792312,3.3235375536605716,2014
43,2909,Haris Handzic,29,1830,4,6.019305475056171,2,0.33689688704907894,35,16,3,0,F S,FC Ufa,3,4.510754957795143,5.486892918124795,1.0887229163199663,2014
44,2924,Pavel Mamaev,21,1625,4,3.5615729950368404,1,1.5256579983979464,24,16,2,0,F M S,FC Krasnodar,4,3.5615729950368404,8.392386298626661,4.265552580356598,2014
45,2927,Ricardo Laborde,25,818,4,3.1479904633015394,1,2.6631541177630424,32,14,8,0,F M S,FC Krasnodar,4,3.1479904633015394,6.948064342141151,1.6299296393990517,2014
46,3055,Igor Smolnikov,23,1986,4,1.6533912802115083,2,1.6338302921503782,19,16,2,0,D M,Zenit St. Petersburg,4,1.6533912802115083,6.21826409175992,4.067101573571563,2014
47,3059,Axel Witsel,28,2306,4,4.3947643637657166,0,1.20173882227391,31,19,5,0,M S,Zenit St. Petersburg,4,4.3947643637657166,13.054645860567689,8.919872615486383,2014
48,3060,Mauricio,28,2425,4,4.17483636457473,4,1.86376041918993,56,27,2,1,M S,FK Akhmat,4,4.17483636457473,9.139159385114908,6.29678588360548,2014
