,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
35,426,Daniel Ginczek,18,1250,7,8.64481982961297,2,2.334586475044489,34,22,3,0,F S,VfB Stuttgart,7,8.64481982961297,10.095300048589706,1.0377904986962676,2014
36,482,Roberto Firmino,33,2921,7,9.12211690749973,10,8.999862399883568,95,68,5,0,F M,Hoffenheim,7,9.12211690749973,18.751602785661817,4.471247663721442,2014
37,2633,Julian Schieber,16,1284,7,4.557997262105346,0,0.6480462895706296,27,10,1,0,F M S,Hertha Berlin,7,4.557997262105346,5.068352399393916,0.38168259896337986,2014
38,26,Salomon Kalou,27,1858,6,7.2618358284235,0,1.8563719540834427,49,18,2,0,F M S,Hertha Berlin,4,5.74627985060215,9.535783275030553,2.310411269776523,2014
39,27,Vladimir Darida,31,2422,6,6.00559875369072,1,2.047906780615449,49,24,3,1,F M S,Freiburg,1,1.4591013863682747,7.473121523857117,4.714330146089196,2014
40,45,Yunus Malli,31,2186,6,5.146579118445516,4,3.9586435901001096,47,31,2,0,F M S,Mainz 05,6,5.146579118445516,11.395914563909173,4.077946458011866,2014
41,209,Josip Drmic,25,775,6,3.7455506436526775,1,0.6070146868005395,21,8,1,0,F S,Bayer Leverkusen,6,3.7455506436526775,4.917565423995256,0.764191010966897,2014
42,248,Elias Kachunga,32,2224,6,7.732157791033387,1,0.6422295114025474,55,21,4,0,F S,Paderborn,6,7.732157791033387,8.226144224405289,2.2039115633815527,2014
43,264,Paul Verhaegh,27,2339,6,5.617854645475745,1,2.104887797497213,20,15,4,1,D,Augsburg,0,0.3134973971173167,5.040092210285366,3.1911679059267044,2014
44,301,Zlatko Junuzovic,33,2901,6,3.848327087238431,12,8.332127146422863,61,77,6,0,M S,Werder Bremen,6,3.848327087238431,9.288027355447412,5.760264272801578,2014
45,308,Ricardo Rodríguez,26,2295,6,3.284564483910799,4,4.228736471384764,33,54,2,0,D,Wolfsburg,3,1.0112335793673992,9.936141917482018,7.258907958865166,2014
46,60,Christian Gentner,33,2941,5,4.558575117960572,3,5.277544528245926,44,40,6,0,M,VfB Stuttgart,5,4.558575117960572,12.742467479780316,6.960422020405531,2014
47,86,Eugen Polanski,30,2546,5,2.758483656682074,0,1.0933237075805664,38,15,7,0,M S,Hoffenheim,3,1.2429299103096128,8.713925999589264,7.090640558861196,2014
48,132,Matthias Lehmann,32,2848,5,3.8545661624521017,1,1.4760566912591457,25,29,9,0,M,FC Cologne,1,0.8234583754092455,6.383603003807366,5.546308260411024,2014
49,134,Marcel Risse,29,2266,5,2.7119164671748877,3,3.9181017326191068,60,31,3,0,M S,FC Cologne,5,2.7119164671748877,8.114043358713388,2.2339658895507455,2014
50,271,Ja-Cheol Koo,23,1489,5,5.81465570256114,1,1.2292221896350384,34,14,3,0,M S,Mainz 05,2,3.541328612715006,7.1383106503635645,3.5569322295486927,2014
51,321,Shinji Kagawa,28,1883,5,5.0519452188164,5,3.917681783437729,38,49,2,0,M S,Borussia Dortmund,5,5.0519452188164,14.911298288032413,7.453120408579707,2014
52,329,Franck Ribéry,15,958,5,2.082653434947133,7,3.76401349902153,22,29,2,0,F M S,Bayern Munich,5,2.082653434947133,8.992030635476112,5.384175702929497,2014
53,338,Max Meyer,28,1861,5,2.8386893570423126,1,2.2112761046737432,32,30,0,0,M S,Schalke 04,5,2.8386893570423126,6.831826580688357,2.4116298109292984,2014
54,396,Hiroshi Kiyotake,32,2541,5,2.69757929071784,5,5.580106437206268,33,69,2,0,M S,Hannover 96,5,2.69757929071784,10.756403369829059,6.321272337809205,2014
55,448,Ivan Perisic,24,1739,5,6.0882715145125985,4,4.926387394312769,43,26,4,0,M S,Wolfsburg,5,5.330494538880885,10.723395593464375,4.890473712235689,2014
56,907,Bastian Schweinsteiger,20,1361,5,2.1745131593197584,4,2.2190834134817123,29,31,4,0,M S,Bayern Munich,5,2.1745131593197584,7.016763024032116,4.264380447566509,2014
57,36,Roy Beerens,27,2078,4,2.6981153897941113,1,1.6396480314433575,27,21,2,0,M S,Hertha Berlin,4,2.6981153897941113,5.420406038872898,1.8612947193905711,2014
58,62,Lukas Rupp,31,2010,4,2.587366007268429,1,2.207702717743814,32,30,3,0,F M S,Paderborn,4,2.587366007268429,6.88841287791729,2.8806383619084954,2014
59,78,Tarik Elyounoussi,25,1490,4,4.818953382782638,1,1.761174874380231,25,23,1,0,M S,Hoffenheim,4,4.818953382782638,7.924566360190511,1.9782646093517542,2014
60,81,Jonathan Schmid,33,2826,4,5.148358169943094,8,6.221347338054329,60,64,2,0,F M S,Freiburg,4,5.148358169943094,9.149546625092626,3.1016976833343506,2014
61,90,Sebastian Rudy,29,2246,4,2.9709952045232058,3,3.3963386616669595,23,45,9,0,D M S,Hoffenheim,4,2.2132188100367785,6.726346638053656,4.662760779261589,2014
62,115,Fin Bartels,29,2420,4,3.9003819674253464,4,4.014332244172692,46,30,5,0,F M S,Werder Bremen,4,3.9003819674253464,9.686123674735427,2.966143539175391,2014
63,153,Maximilian Arnold,27,1668,4,3.582403425127268,2,2.1666150260716677,34,24,8,0,M S,Wolfsburg,4,3.582403425127268,8.82802588492632,4.046524181962013,2014
64,173,Pierre-Michel Lasogga,26,1862,4,5.359029703773558,0,2.1310444278642535,66,14,2,0,F S,Hamburger SV,4,5.359029703773558,7.976521482691169,1.3819416109472513,2014
65,194,Admir Mehmedi,28,2254,4,5.144821177236736,1,1.5700534023344517,51,29,3,0,F M S,Freiburg,4,4.3870446821674705,8.266532411798835,4.16209910530597,2014
66,261,Julian Brandt,25,1095,4,2.015579901635647,2,2.4578238958492875,20,25,0,0,M S,Bayer Leverkusen,4,2.015579901635647,7.028103088028729,3.9590230006724596,2014
67,300,Daniel Didavi,11,742,4,2.7108103409409523,0,0.6329343011602759,32,11,3,0,F M S,VfB Stuttgart,4,2.7108103409409523,3.039795335382223,1.2882697833701968,2014
68,336,Johannes Geis,34,2969,4,3.4362113904207945,3,4.470460120588541,78,74,4,0,M S,Mainz 05,3,2.6784343123435974,8.211831659078598,7.32412404101342,2014
69,360,Ádám Szalai,26,1311,4,4.614538604393601,4,3.4451176337897778,36,24,2,1,F S,Hoffenheim,4,4.614538604393601,6.84038095921278,1.466468507423997,2014
70,2153,Rafael van der Vaart,24,1653,4,4.405372489243746,1,1.8889536829665303,33,30,10,0,M S,Hamburger SV,1,2.1320415176451206,3.920925852842629,1.9249623836949468,2014
71,2648,Änis Ben-Hatira,15,838,4,3.2442716658115387,4,2.6040541287511587,23,13,3,0,M S,Hertha Berlin,4,3.2442716658115387,4.869775254279375,0.24619830399751663,2014
72,4246,Mike Frantz,25,1191,4,3.493230452761054,1,1.234886897727847,23,12,3,0,F M S,Freiburg,4,3.493230452761054,5.093009447678924,1.4539163056761026,2014
73,4273,Alexander Madlung,22,1343,4,1.5678161019459367,0,0.010500799864530563,16,1,5,0,D S,Eintracht Frankfurt,4,1.5678161019459367,1.7001442797482014,1.6357912812381983,2014
74,4296,Moritz Stoppelkamp,27,2182,4,5.591959290206432,2,4.070896708406508,66,43,5,0,F M S,Paderborn,4,5.591959290206432,10.24994713999331,2.722047967836261,2014
75,32,Valentin Stocker,26,1863,3,3.0133258691057563,4,2.9926087521016598,35,28,6,0,F M S,Hertha Berlin,3,3.0133258691057563,6.678475085645914,2.24511307105422,2014
76,40,Stefan Bell,31,2790,3,2.4881675196811557,1,1.2730390578508377,23,6,2,0,D,Mainz 05,3,2.4881675196811557,5.954133505932987,5.004367484711111,2014
77,64,Filip Kostic,28,1511,3,3.3815036546438932,5,7.317620879039168,47,37,5,0,M S,VfB Stuttgart,3,3.3815036546438932,10.179651699960232,4.719167400151491,2014
78,65,Timo Werner,32,1620,3,2.5709828101098537,1,1.52100520581007,30,15,1,0,F M S,VfB Stuttgart,3,2.5709828101098537,5.099785163998604,1.517948574386537,2014
79,110,Theodor Gebre Selassie,26,2276,3,2.9811026407405734,1,1.0419332813471556,18,19,0,0,D S,Werder Bremen,3,2.9811026407405734,3.5104883704334497,2.8985981894657016,2014
80,135,Yuya Osako,28,1519,3,4.085697970353067,3,1.6819798238575459,31,12,1,0,F M S,FC Cologne,3,4.085697970353067,7.656343195587397,2.9066530568525195,2014
