,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
0,2371,Cristiano Ronaldo,35,3103,48,39.30874598119408,16,13.600629400461912,225,76,5,1,F M,Real Madrid,38,30.38968110177666,43.60805014614016,7.520235439762473,2014
1,2097,Lionel Messi,38,3374,43,35.89176997169852,18,17.61194877512753,187,95,4,0,F S,Barcelona,38,31.432101871818304,54.75358371436596,19.756728649139404,2014
2,2099,Neymar,33,2573,22,22.72161516547203,7,8.261538552120328,95,52,6,0,F S,Barcelona,21,21.978335231542587,36.88821509107947,11.678398191928864,2014
3,2270,Antoine Griezmann,37,2490,22,14.709659114480019,1,2.6077212067320943,78,23,6,0,F M S,Atletico Madrid,22,14.709659114480019,18.479457587003708,4.551564801484346,2014
4,1125,Carlos Bacca,37,2581,20,19.27924784179777,6,4.728215850889683,69,31,4,0,F S,Sevilla,14,13.33366437535733,16.08634595107287,2.6682418268173933,2014
5,2410,Aduriz,31,2586,18,16.69646647386253,4,4.4467538595199585,88,17,12,0,F S,Athletic Club,13,12.980456380173564,15.038962718099356,0.9233690993860364,2014
6,4119,Alberto Bueno,36,2897,17,14.516713252291083,4,2.517066325992346,94,27,4,0,F M S,Rayo Vallecano,15,12.286879865452647,17.154036816209555,4.204859122633934,2014
7,2098,Luis Suárez,27,2182,16,14.542303636670113,14,13.520650519058108,75,60,4,0,F S,Barcelona,16,14.542303636670113,28.306167721748352,6.215008330531418,2014
8,2370,Karim Benzema,29,2325,15,12.412422547116876,10,7.889433122240007,69,45,1,0,F,Real Madrid,15,12.412422547116876,27.088972508907318,11.037373565137386,2014
9,2480,Jonathas,34,3024,14,10.753830209374428,7,3.3865047628059983,87,30,10,1,F,Elche,14,10.0105522274971,14.282631981186569,3.5719570526853204,2014
10,4060,Sergio García,35,3030,14,10.27076517418027,9,8.130713621154428,80,52,9,0,F M S,Espanyol,12,8.784336168318987,17.210234811529517,4.55759222432971,2014
11,1732,Nolito,36,2970,13,11.040581971406937,13,14.72691248357296,105,96,11,0,F M S,Celta Vigo,10,8.067464888095856,26.532404277473688,9.863798018544912,2014
